Log for:/Users/peak/polybox/Study/FHNW/FHNW/ipg/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2024-11-08T18:00:47Z
#=#=#=#=# Propagation starts 2024-11-08T18:00:57Z (last step: 10133 msec , total: 10133 msec) 
2024-11-08T18:01:34+00:00 | Lektionen/01. Einführung/04 - IPG - VirtualBox-Tipps-4.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1675944447 | 46828bafc0a0d255e7c54d2067ee99da | 1586789 | 7875951881oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | c0c9b67d-350c-4e31-9f74-4f45df18ddd6 | 
2024-11-08T18:01:35+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Aufgaben/01 - Aufgabe - Klone-erstellen-2.2.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1645098048 | 1429aadab4e1faf2ff33cd9f2141c4b9 | 50377 | 7906341316oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 9deff509-db31-4505-9c1c-75c358e4dfaf | 
2024-11-08T18:01:35+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Aufgaben/02 - Aufgabe - Snapshot-3.3.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1645098227 | 1b710a4cd1e4ff6219c855a36f00af07 | 70217 | 7906341321oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 531a0e0e-771e-41f9-96d1-ee9a62e9c468 | 
2024-11-08T18:01:35+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Aufgaben/03 - Aufgabe - Repository konfigurieren-3.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1688390208 | 9968f9f155f97338f3f9b3c5dcde5103 | 76302 | 7906341361oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | f6666d41-dd83-492b-81e2-9061010c461f | 
2024-11-08T18:01:36+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Aufgaben/04 - Aufgabe - sudo-einrichten-3.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1688391581 | 3d494b2b24e9a5976a6378a7bd4909fe | 91706 | 7906341356oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 93f6759e-7707-4fb5-8844-1c6a4582f79e | 
2024-11-08T18:01:36+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Aufgaben/05 - Aufgabe - VIM-kennenlernen-1.2.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1645101587 | 74c3fd310a4fe7e0a7a952d038142928 | 203061 | 7906341336oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | fe4558d8-e4a7-49f3-8770-ed337aab4f56 | 
 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Aufgaben | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726819305 | 66ed2be95450d | 0 | 7906341226oc641cdd42e0 | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2024-11-08T18:01:37+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Videos/Debian-Repository konfigurieren.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1614602359 | 4b7f3b5544b065440533fb59d2247837 | 652780 | 7906341816oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | fc4fe2bc-d193-44f5-9bb2-dbe2182ae9cb | 
2024-11-08T18:01:38+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Videos/VE-Klon-erstellen-VB.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1677154277 | f868bb1e341dbd038c294b01deac9094 | 668111 | 7906341916oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 1cf12654-6a13-4ff9-84ef-8e98aeb77935 | 
2024-11-08T18:01:19+00:00 | Lektionen/01. Einführung/03 - IPG - Linux-Kurzeinführung-5.3.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726057253 | d13c0cd7e09ed5b342daaeec533f0a31 | 44769036 | 7875997506oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 3581f46b-f400-489e-9962-2bfddceacd26 | 
